,Day,Date,VenueType,team2,score,result,OT,Location,Venue,Attendance,team1,season,score2,score1
782,Sat,2/23/1985,A,TampaBayBandits,7-35,L,,"Tampa, FL",Tampa Stadium,45095,OrlandoRenegades,1985.0,35.0,7.0
828,Sun,2/24/1985,A,OaklandInvaders,10-31,L,,"Oakland, CA",Oakland-Alameda County Coliseum,23622,DenverGold,1985.0,31.0,10.0
932,Sun,2/24/1985,H,HoustonGamblers,33-34,L,,"Los Angeles, CA",Memorial Coliseum,18828,LosAngelesExpress,1985.0,34.0,33.0
892,Sun,2/24/1985,A,ArizonaOutlaws,7-9,L,,"Tempe, AZ",Sun Devil Stadium,20351,PortlandBreakers,1985.0,9.0,7.0
668,Sun,2/24/1985,A,BirminghamStallions,28-38,L,,"Birmingham, AL",Legion Field,34785,NewJerseyGenerals,1985.0,38.0,28.0
762,Sun,2/24/1985,H,BaltimoreStars,22-14,W,,"Jacksonville, FL",Gator Bowl,51045,JacksonvilleBulls,1985.0,14.0,22.0
912,Mon,2/25/1985,H,MemphisShowboats,3-20,L,,"San Antonio, TX",Alamo Stadium,10983,SanAntonioGunslingers,1985.0,20.0,3.0
494,Sun,2/26/1984,H,NewOrleansBreakers,10-13,L,,"San Antonio, TX",Alamo Stadium,18233,SanAntonioGunslingers,1984.0,13.0,10.0
450,Sun,2/26/1984,A,TampaBayBandits,17-20,L,,"Tampa, FL",Tampa Stadium,42915,HoustonGamblers,1984.0,20.0,17.0
430,Sun,2/26/1984,H,WashingtonFederals,53-14,W,,"Jacksonville, FL",Gator Bowl,49392,JacksonvilleBulls,1984.0,14.0,53.0
514,Sun,2/26/1984,H,PittsburghMaulers,7-3,W,,"Tulsa, OK",Skelly Stadium,15937,OklahomaOutlaws,1984.0,3.0,7.0
410,Sun,2/26/1984,H,PhiladelphiaStars,9-17,L,,"Memphis, TN",Liberty Bowl,28098,MemphisShowboats,1984.0,17.0,9.0
343,Sun,2/26/1984,H,NewJerseyGenerals,6-17,L,,"Birmingham, AL",Legion Field,62300,BirminghamStallions,1984.0,17.0,6.0
624,Sun,2/26/1984,A,ArizonaWranglers,7-35,L,,"Tempe, AZ",Sun Devil Stadium,29176,OaklandInvaders,1984.0,35.0,7.0
604,Sun,2/26/1984,A,LosAngelesExpress,27-10,W,,"Los Angeles, CA",Memorial Coliseum,32082,DenverGold,1984.0,10.0,27.0
534,Mon,2/27/1984,A,MichiganPanthers,18-20,L,,"Pontiac, MI",Pontiac Silverdome,22428,ChicagoBlitz,1984.0,20.0,18.0
783,Fri,3/1/1985,H,NewJerseyGenerals,10-28,L,,"Orlando, FL",Orlando Stadium,32748,OrlandoRenegades,1985.0,28.0,10.0
432,Sat,3/10/1984,A,TampaBayBandits,25-28,L,,"Tampa, FL",Tampa Stadium,51274,JacksonvilleBulls,1984.0,28.0,25.0
934,Sun,3/10/1985,A,NewJerseyGenerals,24-35,L,,"East Rutherford, NJ",Giants Stadium,58741,LosAngelesExpress,1985.0,35.0,24.0
894,Sun,3/10/1985,A,DenverGold,17-29,L,,"Denver, CO",Mile High Stadium,17870,PortlandBreakers,1985.0,29.0,17.0
914,Sun,3/10/1985,H,TampaBayBandits,18-31,L,,"San Antonio, TX",Alamo Stadium,21822,SanAntonioGunslingers,1985.0,31.0,18.0
852,Sun,3/10/1985,A,OaklandInvaders,42-7,W,,"Oakland, CA",Oakland-Alameda County Coliseum,16037,HoustonGamblers,1985.0,7.0,42.0
283,Sun,3/11/1984,H,PhiladelphiaStars,17-14,W,,"East Rutherford, NJ",Giants Stadium,46716,NewJerseyGenerals,1984.0,14.0,17.0
345,Sun,3/11/1984,A,PittsburghMaulers,30-18,W,,"Pittsburgh, PA",Three Rivers Stadium,53771,BirminghamStallions,1984.0,18.0,30.0
412,Sun,3/11/1984,A,NewOrleansBreakers,14-37,L,,"New Orleans, LA",Louisiana Superdome,45269,MemphisShowboats,1984.0,37.0,14.0
536,Sun,3/11/1984,H,HoustonGamblers,36-45,L,,"Chicago, IL",Soldier Field,7808,ChicagoBlitz,1984.0,45.0,36.0
516,Sun,3/11/1984,H,SanAntonioGunslingers,14-7,W,,"Tulsa, OK",Skelly Stadium,24311,OklahomaOutlaws,1984.0,7.0,14.0
626,Sun,3/11/1984,H,LosAngelesExpress,0-10,L,,"Oakland, CA",Oakland-Alameda County Coliseum,23479,OaklandInvaders,1984.0,10.0,0.0
606,Sun,3/11/1984,H,MichiganPanthers,0-28,L,,"Denver, CO",Mile High Stadium,41263,DenverGold,1984.0,28.0,0.0
874,Mon,3/11/1985,H,JacksonvilleBulls,41-21,W,,"Tempe, AZ",Sun Devil Stadium,13025,ArizonaOutlaws,1985.0,21.0,41.0
133,Sat,3/12/1983,H,MichiganPanthers,19-7,W,,"Tampa, FL",Tampa Stadium,38789,TampaBayBandits,1983.0,7.0,19.0
235,Sat,3/12/1983,H,ChicagoBlitz,30-29,W,,"Tempe, AZ",Sun Devil Stadium,28434,ArizonaWranglers,1983.0,29.0,30.0
580,Mon,3/12/1984,H,WashingtonFederals,37-7,W,,"Tempe, AZ",Sun Devil Stadium,25218,ArizonaWranglers,1984.0,7.0,37.0
173,Sun,3/13/1983,H,BirminghamStallions,14-20,L,OT,"Oakland, CA",Oakland-Alameda County Coliseum,47344,OaklandInvaders,1983.0,20.0,14.0
215,Sun,3/13/1983,H,BostonBreakers,7-21,L,,"Denver, CO",Mile High Stadium,41926,DenverGold,1983.0,21.0,7.0
47,Sun,3/13/1983,A,PhiladelphiaStars,0-25,L,,"Philadelphia, PA",Veterans Stadium,38205,NewJerseyGenerals,1983.0,25.0,0.0
195,Mon,3/14/1983,H,WashingtonFederals,20-3,W,,"Los Angeles, CA",Memorial Coliseum,22453,LosAngelesExpress,1983.0,3.0,20.0
895,Sat,3/16/1985,H,OrlandoRenegades,23-17,W,,"Portland, OR",Civic Stadium,25885,PortlandBreakers,1985.0,17.0,23.0
935,Sat,3/16/1985,H,SanAntonioGunslingers,38-7,W,,"Los Angeles, CA",Memorial Coliseum,10410,LosAngelesExpress,1985.0,7.0,38.0
875,Sat,3/16/1985,A,TampaBayBandits,13-23,L,,"Tampa, FL",Tampa Stadium,30000,ArizonaOutlaws,1985.0,23.0,13.0
537,Sat,3/17/1984,H,OklahomaOutlaws,14-17,L,,"Chicago, IL",Soldier Field,6206,ChicagoBlitz,1984.0,17.0,14.0
413,Sat,3/17/1984,A,BirminghamStallions,6-54,L,,"Birmingham, AL",Legion Field,41500,MemphisShowboats,1984.0,54.0,6.0
557,Sat,3/17/1984,A,SanAntonioGunslingers,13-12,W,,"San Antonio, TX",Alamo Stadium,9821,LosAngelesExpress,1984.0,12.0,13.0
805,Sun,3/17/1985,H,JacksonvilleBulls,42-36,W,,"Oakland, CA",Oakland-Alameda County Coliseum,16678,OaklandInvaders,1985.0,36.0,42.0
717,Sun,3/17/1985,H,NewJerseyGenerals,29-9,W,,"College Park, MD",Byrd Stadium,31026,BaltimoreStars,1985.0,9.0,29.0
693,Sun,3/17/1985,A,BirminghamStallions,34-19,W,,"Birmingham, AL",Legion Field,34500,MemphisShowboats,1985.0,19.0,34.0
607,Sun,3/18/1984,H,TampaBayBandits,36-30,W,,"Denver, CO",Mile High Stadium,19173,DenverGold,1984.0,30.0,36.0
453,Sun,3/18/1984,H,NewJerseyGenerals,32-25,W,,"Houston, TX",Astrodome,35532,HoustonGamblers,1984.0,25.0,32.0
581,Sun,3/18/1984,A,MichiganPanthers,26-31,L,,"Pontiac, MI",Pontiac Silverdome,43130,ArizonaWranglers,1984.0,31.0,26.0
627,Sun,3/18/1984,A,PhiladelphiaStars,7-28,L,,"Philadelphia, PA",Veterans Stadium,30284,OaklandInvaders,1984.0,28.0,7.0
326,Sun,3/18/1984,A,WashingtonFederals,16-7,W,,"Washington, DC",RFK Stadium,10121,PittsburghMaulers,1984.0,7.0,16.0
853,Mon,3/18/1985,H,DenverGold,36-17,W,,"Houston, TX",Astrodome,33747,HoustonGamblers,1985.0,17.0,36.0
236,Sat,3/19/1983,H,LosAngelesExpress,21-14,W,,"Tempe, AZ",Sun Devil Stadium,29335,ArizonaWranglers,1983.0,14.0,21.0
174,Sat,3/19/1983,A,MichiganPanthers,33-27,W,,"Pontiac, MI",Pontiac Silverdome,28952,OaklandInvaders,1983.0,27.0,33.0
433,Mon,3/19/1984,H,NewOrleansBreakers,9-38,L,,"Jacksonville, FL",Gator Bowl,48303,JacksonvilleBulls,1984.0,38.0,9.0
579,Fri,3/2/1984,H,TampaBayBandits,17-20,L,,"Tempe, AZ",Sun Devil Stadium,31264,ArizonaWranglers,1984.0,20.0,17.0
933,Sat,3/2/1985,A,PortlandBreakers,10-14,L,,"Portland, OR",Civic Stadium,25232,LosAngelesExpress,1985.0,14.0,10.0
68,Sun,3/20/1983,A,BostonBreakers,16-19,L,,"Boston, MA",Nickerson Field,18430,WashingtonFederals,1983.0,19.0,16.0
134,Sun,3/20/1983,A,NewJerseyGenerals,32-9,W,,"East Rutherford, NJ",Giants Stadium,53307,TampaBayBandits,1983.0,9.0,32.0
216,Sun,3/20/1983,A,ChicagoBlitz,16-13,W,,"Chicago, IL",Soldier Field,22600,DenverGold,1983.0,13.0,16.0
154,Mon,3/21/1983,H,PhiladelphiaStars,10-17,L,,"Birmingham, AL",Legion Field,12850,BirminghamStallions,1983.0,17.0,10.0
786,Thu,3/21/1985,A,JacksonvilleBulls,31-34,L,,"Jacksonville, FL",Gator Bowl,31883,OrlandoRenegades,1985.0,34.0,31.0
936,Sat,3/23/1985,A,ArizonaOutlaws,13-27,L,,"Tempe, AZ",Sun Devil Stadium,20835,LosAngelesExpress,1985.0,27.0,13.0
327,Sat,3/24/1984,H,PhiladelphiaStars,10-25,L,,"Pittsburgh, PA",Three Rivers Stadium,24341,PittsburghMaulers,1984.0,25.0,10.0
582,Sat,3/24/1984,H,OklahomaOutlaws,49-7,W,,"Tempe, AZ",Sun Devil Stadium,29434,ArizonaWranglers,1984.0,7.0,49.0
628,Sat,3/24/1984,A,SanAntonioGunslingers,10-14,L,,"San Antonio, TX",Alamo Stadium,11012,OaklandInvaders,1984.0,14.0,10.0
806,Sun,3/24/1985,A,MemphisShowboats,31-19,W,,"Memphis, TN",Liberty Bowl,28773,OaklandInvaders,1985.0,19.0,31.0
718,Sun,3/24/1985,H,BirminghamStallions,3-7,L,,"College Park, MD",Byrd Stadium,14529,BaltimoreStars,1985.0,7.0,3.0
744,Sun,3/24/1985,A,NewJerseyGenerals,24-28,L,,"East Rutherford, NJ",Giants Stadium,41079,TampaBayBandits,1985.0,28.0,24.0
896,Sun,3/24/1985,A,HoustonGamblers,20-27,L,,"Houston, TX",Astrodome,22031,PortlandBreakers,1985.0,27.0,20.0
307,Sun,3/25/1984,A,NewJerseyGenerals,6-43,L,,"East Rutherford, NJ",Giants Stadium,38075,WashingtonFederals,1984.0,43.0,6.0
538,Sun,3/25/1984,A,NewOrleansBreakers,35-41,L,OT,"New Orleans, LA",Louisiana Superdome,43692,ChicagoBlitz,1984.0,41.0,35.0
608,Sun,3/25/1984,A,MemphisShowboats,28-24,W,,"Memphis, TN",Liberty Bowl,21213,DenverGold,1984.0,24.0,28.0
558,Sun,3/25/1984,H,JacksonvilleBulls,7-13,L,,"Los Angeles, CA",Memorial Coliseum,8000,LosAngelesExpress,1984.0,13.0,7.0
916,Mon,3/25/1985,A,DenverGold,2-16,L,,"Denver, CO",Mile High Stadium,13901,SanAntonioGunslingers,1985.0,16.0,2.0
237,Sat,3/26/1983,A,BirminghamStallions,7-16,L,,"Birmingham, AL",Legion Field,5000,ArizonaWranglers,1983.0,16.0,7.0
371,Mon,3/26/1984,H,BirminghamStallions,9-27,L,,"Tampa, FL",Tampa Stadium,37899,TampaBayBandits,1984.0,27.0,9.0
476,Mon,3/26/1984,A,HoustonGamblers,52-34,W,,"Houston, TX",Astrodome,38754,MichiganPanthers,1984.0,34.0,52.0
89,Sun,3/27/1983,A,WashingtonFederals,16-22,L,OT,"Washington, DC",RFK Stadium,11414,MichiganPanthers,1983.0,22.0,16.0
135,Sun,3/27/1983,A,PhiladelphiaStars,27-22,W,,"Philadelphia, PA",Veterans Stadium,18718,TampaBayBandits,1983.0,22.0,27.0
49,Sun,3/27/1983,H,BostonBreakers,21-31,L,,"East Rutherford, NJ",Giants Stadium,41218,NewJerseyGenerals,1983.0,31.0,21.0
197,Sun,3/27/1983,A,ChicagoBlitz,14-20,L,,"Chicago, IL",Soldier Field,10936,LosAngelesExpress,1983.0,20.0,14.0
217,Mon,3/28/1983,H,OaklandInvaders,22-12,W,,"Denver, CO",Mile High Stadium,38720,DenverGold,1983.0,12.0,22.0
745,Fri,3/29/1985,A,MemphisShowboats,28-20,W,,"Memphis, TN",Liberty Bowl,23952,TampaBayBandits,1985.0,20.0,28.0
605,Sat,3/3/1984,A,OklahomaOutlaws,17-14,W,OT,"Tulsa, OK",Skelly Stadium,25403,DenverGold,1984.0,14.0,17.0
473,Sat,3/3/1984,H,PittsburghMaulers,27-24,W,,"Pontiac, MI",Pontiac Silverdome,44485,MichiganPanthers,1984.0,24.0,27.0
803,Sun,3/3/1985,H,BaltimoreStars,17-17,T,OT,"Oakland, CA",Oakland-Alameda County Coliseum,20495,OaklandInvaders,1985.0,17.0,17.0
829,Sun,3/3/1985,A,BirminghamStallions,40-23,W,,"Birmingham, AL",Legion Field,27400,DenverGold,1985.0,23.0,40.0
913,Sun,3/3/1985,H,ArizonaOutlaws,16-14,W,,"San Antonio, TX",Alamo Stadium,11151,SanAntonioGunslingers,1985.0,14.0,16.0
851,Sun,3/3/1985,A,TampaBayBandits,50-28,W,,"Tampa, FL",Tampa Stadium,30000,HoustonGamblers,1985.0,28.0,50.0
767,Sat,3/30/1985,A,BirminghamStallions,18-25,L,,"Birmingham, AL",Legion Field,41200,JacksonvilleBulls,1985.0,25.0,18.0
877,Sat,3/30/1985,H,NewJerseyGenerals,31-13,W,,"Tempe, AZ",Sun Devil Stadium,30432,ArizonaOutlaws,1985.0,13.0,31.0
519,Sat,3/31/1984,H,HoustonGamblers,31-28,W,OT,"Tulsa, OK",Skelly Stadium,17266,OklahomaOutlaws,1984.0,28.0,31.0
539,Sat,3/31/1984,A,WashingtonFederals,21-20,W,,"Washington, DC",RFK Stadium,7373,ChicagoBlitz,1984.0,20.0,21.0
435,Sat,3/31/1984,A,MemphisShowboats,24-27,L,,"Memphis, TN",Liberty Bowl,17180,JacksonvilleBulls,1984.0,27.0,24.0
855,Sun,3/31/1985,H,BaltimoreStars,14-27,L,,"Houston, TX",Astrodome,24166,HoustonGamblers,1985.0,27.0,14.0
833,Sun,3/31/1985,H,OrlandoRenegades,21-17,W,,"Denver, CO",Mile High Stadium,10217,DenverGold,1985.0,17.0,21.0
937,Sun,3/31/1985,H,OaklandInvaders,6-30,L,,"Los Angeles, CA",Memorial Coliseum,11619,LosAngelesExpress,1985.0,30.0,6.0
535,Sun,3/4/1984,A,MemphisShowboats,13-23,L,,"Memphis, TN",Liberty Bowl,10152,ChicagoBlitz,1984.0,23.0,13.0
555,Sun,3/4/1984,H,BirminghamStallions,14-21,L,,"Los Angeles, CA",Memorial Coliseum,14789,LosAngelesExpress,1984.0,21.0,14.0
304,Sun,3/4/1984,H,PhiladelphiaStars,6-17,L,,"Washington, DC",RFK Stadium,12067,WashingtonFederals,1984.0,17.0,6.0
431,Sun,3/4/1984,H,NewJerseyGenerals,26-28,L,,"Jacksonville, FL",Gator Bowl,73227,JacksonvilleBulls,1984.0,28.0,26.0
625,Sun,3/4/1984,H,NewOrleansBreakers,0-13,L,,"Oakland, CA",Oakland-Alameda County Coliseum,41200,OaklandInvaders,1984.0,13.0,0.0
763,Mon,3/4/1985,H,MemphisShowboats,14-24,L,,"Jacksonville, FL",Gator Bowl,40112,JacksonvilleBulls,1985.0,24.0,14.0
495,Mon,3/5/1984,H,HoustonGamblers,7-35,L,,"San Antonio, TX",Alamo Stadium,10023,SanAntonioGunslingers,1984.0,35.0,7.0
194,Sun,3/6/1983,H,NewJerseyGenerals,20-15,W,,"Los Angeles, CA",Memorial Coliseum,34002,LosAngelesExpress,1983.0,15.0,20.0
234,Sun,3/6/1983,H,OaklandInvaders,0-24,L,,"Tempe, AZ",Sun Devil Stadium,45167,ArizonaWranglers,1983.0,24.0,0.0
110,Sun,3/6/1983,A,WashingtonFederals,28-7,W,,"Washington, DC",RFK Stadium,38010,ChicagoBlitz,1983.0,7.0,28.0
214,Sun,3/6/1983,H,PhiladelphiaStars,7-13,L,,"Denver, CO",Mile High Stadium,45102,DenverGold,1983.0,13.0,7.0
132,Sun,3/6/1983,H,BostonBreakers,21-17,W,,"Tampa, FL",Tampa Stadium,42437,TampaBayBandits,1983.0,17.0,21.0
152,Mon,3/7/1983,H,MichiganPanthers,7-9,L,,"Birmingham, AL",Legion Field,30305,BirminghamStallions,1983.0,9.0,7.0
716,Sat,3/9/1985,A,MemphisShowboats,19-21,L,,"Memphis, TN",Liberty Bowl,37466,BaltimoreStars,1985.0,21.0,19.0
784,Sat,3/9/1985,H,BirminghamStallions,10-34,L,,"Orlando, FL",Orlando Stadium,20000,OrlandoRenegades,1985.0,34.0,10.0
372,Sun,4/1/1984,A,PhiladelphiaStars,24-38,L,,"Philadelphia, PA",Veterans Stadium,30270,TampaBayBandits,1984.0,38.0,24.0
499,Sun,4/1/1984,A,MichiganPanthers,10-26,L,,"Pontiac, MI",Pontiac Silverdome,42692,SanAntonioGunslingers,1984.0,26.0,10.0
609,Sun,4/1/1984,H,ArizonaWranglers,17-7,W,,"Denver, CO",Mile High Stadium,31666,DenverGold,1984.0,7.0,17.0
559,Sun,4/1/1984,H,NewJerseyGenerals,10-26,L,,"Los Angeles, CA",Memorial Coliseum,19853,LosAngelesExpress,1984.0,26.0,10.0
629,Sun,4/1/1984,A,PittsburghMaulers,14-28,L,,"Pittsburgh, PA",Three Rivers Stadium,22408,OaklandInvaders,1984.0,28.0,14.0
917,Mon,4/1/1985,A,PortlandBreakers,33-0,W,,"Portland, OR",Civic Stadium,19882,SanAntonioGunslingers,1985.0,0.0,33.0
177,Sun,4/10/1983,A,BostonBreakers,26-7,W,,"Boston, MA",Nickerson Field,7984,OaklandInvaders,1983.0,7.0,26.0
91,Sun,4/10/1983,A,NewJerseyGenerals,21-6,W,,"East Rutherford, NJ",Giants Stadium,17648,MichiganPanthers,1983.0,6.0,21.0
199,Sun,4/10/1983,H,PhiladelphiaStars,3-17,L,,"Los Angeles, CA",Memorial Coliseum,18671,LosAngelesExpress,1983.0,17.0,3.0
157,Sun,4/10/1983,A,ChicagoBlitz,11-22,L,,"Chicago, IL",Soldier Field,13859,BirminghamStallions,1983.0,22.0,11.0
239,Mon,4/11/1983,A,WashingtonFederals,22-21,W,,"Washington, DC",RFK Stadium,13936,ArizonaWranglers,1983.0,21.0,22.0
919,Fri,4/12/1985,A,JacksonvilleBulls,17-28,L,,"Jacksonville, FL",Gator Bowl,32097,SanAntonioGunslingers,1985.0,28.0,17.0
809,Sat,4/13/1985,A,BirminghamStallions,17-20,L,,"Birmingham, AL",Legion Field,44500,OaklandInvaders,1985.0,20.0,17.0
611,Sat,4/14/1984,A,PittsburghMaulers,31-21,W,,"Pittsburgh, PA",Three Rivers Stadium,16773,DenverGold,1984.0,21.0,31.0
501,Sat,4/14/1984,A,JacksonvilleBulls,20-0,W,,"Jacksonville, FL",Gator Bowl,35084,SanAntonioGunslingers,1984.0,0.0,20.0
561,Sat,4/14/1984,H,MemphisShowboats,23-17,W,OT,"Los Angeles, CA",Memorial Coliseum,10049,LosAngelesExpress,1984.0,17.0,23.0
521,Sat,4/14/1984,A,WashingtonFederals,20-16,W,,"Washington, DC",RFK Stadium,6075,OklahomaOutlaws,1984.0,16.0,20.0
879,Sun,4/14/1985,H,OrlandoRenegades,19-24,L,,"Tempe, AZ",Sun Devil Stadium,32169,ArizonaOutlaws,1985.0,24.0,19.0
939,Sun,4/14/1985,A,HoustonGamblers,18-17,W,,"Houston, TX",Astrodome,20193,LosAngelesExpress,1985.0,17.0,18.0
721,Sun,4/14/1985,H,MemphisShowboats,10-13,L,,"College Park, MD",Byrd Stadium,15728,BaltimoreStars,1985.0,13.0,10.0
899,Sun,4/14/1985,A,NewJerseyGenerals,7-34,L,,"East Rutherford, NJ",Giants Stadium,38245,PortlandBreakers,1985.0,34.0,7.0
479,Sun,4/15/1984,H,BirminghamStallions,17-28,L,,"Pontiac, MI",Pontiac Silverdome,42655,MichiganPanthers,1984.0,28.0,17.0
585,Sun,4/15/1984,A,NewJerseyGenerals,20-3,W,,"East Rutherford, NJ",Giants Stadium,31917,ArizonaWranglers,1984.0,3.0,20.0
541,Sun,4/15/1984,A,PhiladelphiaStars,7-41,L,,"Philadelphia, PA",Veterans Stadium,17417,ChicagoBlitz,1984.0,41.0,7.0
835,Mon,4/15/1985,A,TampaBayBandits,17-33,L,,"Tampa, FL",Tampa Stadium,40000,DenverGold,1985.0,33.0,17.0
178,Sat,4/16/1983,H,PhiladelphiaStars,7-17,L,,"Oakland, CA",Oakland-Alameda County Coliseum,34901,OaklandInvaders,1983.0,17.0,7.0
397,Mon,4/16/1984,H,TampaBayBandits,13-35,L,,"New Orleans, LA",Louisiana Superdome,35634,NewOrleansBreakers,1984.0,35.0,13.0
631,Mon,4/16/1984,H,HoustonGamblers,27-35,L,,"Oakland, CA",Oakland-Alameda County Coliseum,18320,OaklandInvaders,1984.0,35.0,27.0
952,Sat,4/16/2022,A,BirminghamStallions,24-28,L,,"Birmingham, AL",Protective Stadium,,NewJerseyGenerals,2022.0,28.0,24.0
72,Sun,4/17/1983,A,NewJerseyGenerals,22-23,L,,"East Rutherford, NJ",Giants Stadium,35381,WashingtonFederals,1983.0,23.0,22.0
220,Sun,4/17/1983,A,BirminghamStallions,9-7,W,,"Birmingham, AL",Legion Field,26250,DenverGold,1983.0,7.0,9.0
240,Sun,4/17/1983,H,BostonBreakers,23-44,L,,"Tempe, AZ",Sun Devil Stadium,20911,ArizonaWranglers,1983.0,44.0,23.0
116,Sun,4/17/1983,A,MichiganPanthers,12-17,L,,"Pontiac, MI",Pontiac Silverdome,11634,ChicagoBlitz,1983.0,17.0,12.0
1096,Sun,4/17/2022,A,NewOrleansBreakers,17-23,L,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,23.0,17.0
1058,Sun,4/17/2022,A,MichiganPanthers,17-12,W,,"Birmingham, AL",Protective Stadium,,HoustonGamblers,2022.0,12.0,17.0
200,Mon,4/18/1983,A,TampaBayBandits,18-13,W,,"Tampa, FL",Tampa Stadium,32223,LosAngelesExpress,1983.0,13.0,18.0
1070,Mon,4/18/2022,A,PittsburghMaulers,17-3,W,,"Birmingham, AL",Protective Stadium,,TampaBayBandits,2022.0,3.0,17.0
698,Fri,4/19/1985,H,NewJerseyGenerals,18-21,L,,"Memphis, TN",Liberty Bowl,44339,MemphisShowboats,1985.0,21.0,18.0
136,Sat,4/2/1983,H,ChicagoBlitz,3-42,L,,"Tampa, FL",Tampa Stadium,46585,TampaBayBandits,1983.0,42.0,3.0
156,Sat,4/2/1983,A,BostonBreakers,16-27,L,,"Boston, MA",Nickerson Field,10976,BirminghamStallions,1983.0,27.0,16.0
395,Mon,4/2/1984,A,BirminghamStallions,17-31,L,,"Birmingham, AL",Legion Field,28100,NewOrleansBreakers,1984.0,31.0,17.0
562,Fri,4/20/1984,A,ChicagoBlitz,29-49,L,,"Chicago, IL",Soldier Field,11713,LosAngelesExpress,1984.0,49.0,29.0
438,Fri,4/20/1984,H,MemphisShowboats,12-10,W,,"Jacksonville, FL",Gator Bowl,36256,JacksonvilleBulls,1984.0,10.0,12.0
940,Sat,4/20/1985,A,DenverGold,0-51,L,,"Denver, CO",Mile High Stadium,13165,LosAngelesExpress,1985.0,51.0,0.0
790,Sat,4/20/1985,H,JacksonvilleBulls,10-31,L,,"Orlando, FL",Orlando Stadium,34338,OrlandoRenegades,1985.0,31.0,10.0
586,Sat,4/21/1984,A,HoustonGamblers,24-37,L,,"Houston, TX",Astrodome,23117,ArizonaWranglers,1984.0,37.0,24.0
522,Sat,4/21/1984,A,BirminghamStallions,17-41,L,,"Birmingham, AL",Legion Field,41653,OklahomaOutlaws,1984.0,41.0,17.0
748,Sun,4/21/1985,A,BirminghamStallions,3-30,L,,"Birmingham, AL",Legion Field,28900,TampaBayBandits,1985.0,30.0,3.0
900,Sun,4/21/1985,A,BaltimoreStars,17-26,L,,"College Park, MD",Byrd Stadium,14832,PortlandBreakers,1985.0,26.0,17.0
880,Sun,4/21/1985,H,HoustonGamblers,17-33,L,,"Tempe, AZ",Sun Devil Stadium,16640,ArizonaOutlaws,1985.0,33.0,17.0
502,Sun,4/22/1984,H,PhiladelphiaStars,14-20,L,,"San Antonio, TX",Alamo Stadium,16590,SanAntonioGunslingers,1984.0,20.0,14.0
632,Sun,4/22/1984,H,WashingtonFederals,17-31,L,,"Oakland, CA",Oakland-Alameda County Coliseum,14828,OaklandInvaders,1984.0,31.0,17.0
612,Sun,4/22/1984,A,NewOrleansBreakers,18-20,L,,"New Orleans, LA",Louisiana Superdome,22139,DenverGold,1984.0,20.0,18.0
331,Sun,4/22/1984,H,NewJerseyGenerals,10-14,L,,"Pittsburgh, PA",Three Rivers Stadium,14418,PittsburghMaulers,1984.0,14.0,10.0
920,Mon,4/22/1985,A,OaklandInvaders,20-27,L,,"Oakland, CA",Oakland-Alameda County Coliseum,18215,SanAntonioGunslingers,1985.0,27.0,20.0
1021,Fri,4/22/2022,A,NewJerseyGenerals,6-10,L,,"Birmingham, AL",Protective Stadium,,MichiganPanthers,2022.0,10.0,6.0
201,Sat,4/23/1983,A,MichiganPanthers,24-34,L,,"Pontiac, MI",Pontiac Silverdome,13184,LosAngelesExpress,1983.0,34.0,24.0
241,Sat,4/23/1983,H,DenverGold,24-3,W,,"Tempe, AZ",Sun Devil Stadium,21557,ArizonaWranglers,1983.0,3.0,24.0
480,Mon,4/23/1984,H,TampaBayBandits,7-20,L,,"Pontiac, MI",Pontiac Silverdome,31433,MichiganPanthers,1984.0,20.0,7.0
1059,Sat,4/23/2022,H,BirminghamStallions,28-33,L,,"Birmingham, AL",Protective Stadium,,HoustonGamblers,2022.0,33.0,28.0
1097,Sat,4/23/2022,H,PittsburghMaulers,30-23,W,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,23.0,30.0
