,Day,Date,VenueType,team2,score,result,OT,Location,Venue,Attendance,team1,season,score2,score1
121,Sun,5/22/1983,A,NewJerseyGenerals,19-13,W,OT,"East Rutherford, NJ",Giants Stadium,33812,ChicagoBlitz,1983.0,13.0,19.0
77,Sun,5/22/1983,H,BostonBreakers,14-21,L,,"Washington, DC",RFK Stadium,7303,WashingtonFederals,1983.0,21.0,14.0
245,Sun,5/22/1983,H,PhiladelphiaStars,7-24,L,,"Tempe, AZ",Sun Devil Stadium,18151,ArizonaWranglers,1983.0,24.0,7.0
1087,Sun,5/22/2022,H,PittsburghMaulers,26-16,W,,"Birmingham, AL",Protective Stadium,,NewOrleansBreakers,2022.0,16.0,26.0
1049,Sun,5/22/2022,H,PittsburghMaulers,26-16,W,,"Birmingham, AL",Protective Stadium,,NewOrleansBreakers,2022.0,16.0,26.0
1063,Sun,5/22/2022,A,NewJerseyGenerals,25-26,L,,"Birmingham, AL",Protective Stadium,,HoustonGamblers,2022.0,26.0,25.0
971,Sun,5/22/2022,A,NewJerseyGenerals,25-26,L,,"Birmingham, AL",Protective Stadium,,HoustonGamblers,2022.0,26.0,25.0
163,Mon,5/23/1983,A,MichiganPanthers,23-20,W,OT,"Pontiac, MI",Pontiac Silverdome,20042,BirminghamStallions,1983.0,20.0,23.0
841,Thu,5/23/1985,H,OaklandInvaders,16-31,L,,"Denver, CO",Mile High Stadium,12372,DenverGold,1985.0,31.0,16.0
463,Fri,5/25/1984,A,JacksonvilleBulls,54-7,W,,"Jacksonville, FL",Gator Bowl,31638,HoustonGamblers,1984.0,7.0,54.0
423,Fri,5/25/1984,H,TampaBayBandits,31-21,W,,"Memphis, TN",Liberty Bowl,27422,MemphisShowboats,1984.0,21.0,31.0
617,Fri,5/25/1984,A,SanAntonioGunslingers,27-20,W,,"San Antonio, TX",Alamo Stadium,20077,DenverGold,1984.0,20.0,27.0
945,Sat,5/25/1985,A,JacksonvilleBulls,7-21,L,,"Jacksonville, FL",Gator Bowl,51033,LosAngelesExpress,1985.0,21.0,7.0
905,Sat,5/25/1985,H,MemphisShowboats,17-14,W,,"Portland, OR",Civic Stadium,16682,PortlandBreakers,1985.0,14.0,17.0
637,Sat,5/26/1984,A,OklahomaOutlaws,17-14,W,,"Tulsa, OK",Skelly Stadium,16378,OaklandInvaders,1984.0,14.0,17.0
591,Sat,5/26/1984,A,LosAngelesExpress,17-24,L,,"Los Angeles, CA",Memorial Coliseum,11702,ArizonaWranglers,1984.0,24.0,17.0
885,Sun,5/26/1985,A,HoustonGamblers,20-41,L,,"Houston, TX",Astrodome,12696,ArizonaOutlaws,1985.0,41.0,20.0
925,Sun,5/26/1985,A,BaltimoreStars,10-28,L,,"College Park, MD",Byrd Stadium,8633,SanAntonioGunslingers,1985.0,28.0,10.0
753,Sun,5/26/1985,H,NewJerseyGenerals,24-30,L,,"Tampa, FL",Tampa Stadium,32000,TampaBayBandits,1985.0,30.0,24.0
226,Fri,5/27/1983,H,BirminghamStallions,21-19,W,,"Denver, CO",Mile High Stadium,38829,DenverGold,1983.0,19.0,21.0
336,Sun,5/27/1984,H,WashingtonFederals,15-6,W,,"Pittsburgh, PA",Three Rivers Stadium,15153,PittsburghMaulers,1984.0,6.0,15.0
485,Sun,5/27/1984,H,PhiladelphiaStars,13-31,L,,"Pontiac, MI",Pontiac Silverdome,20387,MichiganPanthers,1984.0,31.0,13.0
403,Sun,5/27/1984,H,BirminghamStallions,14-31,L,,"New Orleans, LA",Louisiana Superdome,23748,NewOrleansBreakers,1984.0,31.0,14.0
795,Mon,5/27/1985,A,BirminghamStallions,17-41,L,,"Birmingham, AL",Legion Field,24500,OrlandoRenegades,1985.0,41.0,17.0
547,Mon,5/28/1984,H,NewJerseyGenerals,17-21,L,,"Chicago, IL",Soldier Field,4307,ChicagoBlitz,1984.0,21.0,17.0
1088,Sat,5/28/2022,A,MichiganPanthers,31-27,W,OT,"Birmingham, AL",Protective Stadium,,NewOrleansBreakers,2022.0,27.0,31.0
1076,Sat,5/28/2022,H,NewJerseyGenerals,13-20,L,,"Birmingham, AL",Protective Stadium,,TampaBayBandits,2022.0,20.0,13.0
1050,Sat,5/28/2022,A,MichiganPanthers,31-27,W,OT,"Birmingham, AL",Protective Stadium,,NewOrleansBreakers,2022.0,27.0,31.0
998,Sat,5/28/2022,H,NewJerseyGenerals,13-20,L,,"Birmingham, AL",Protective Stadium,,TampaBayBandits,2022.0,20.0,13.0
206,Sun,5/29/1983,A,OaklandInvaders,10-20,L,,"Oakland, CA",Oakland-Alameda County Coliseum,28967,LosAngelesExpress,1983.0,20.0,10.0
38,Sun,5/29/1983,H,PhiladelphiaStars,21-17,W,,"Boston, MA",Nickerson Field,15668,BostonBreakers,1983.0,17.0,21.0
78,Sun,5/29/1983,H,NewJerseyGenerals,29-32,L,,"Washington, DC",RFK Stadium,11264,WashingtonFederals,1983.0,32.0,29.0
1038,Sun,5/29/2022,H,BirminghamStallions,16-26,L,,"Birmingham, AL",Protective Stadium,,PittsburghMaulers,2022.0,26.0,16.0
1102,Sun,5/29/2022,A,HoustonGamblers,35-24,W,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,24.0,35.0
700,Fri,5/3/1985,H,BirminghamStallions,38-24,W,,"Memphis, TN",Liberty Bowl,29025,MemphisShowboats,1985.0,24.0,38.0
246,Mon,5/30/1983,A,ChicagoBlitz,11-36,L,,"Chicago, IL",Soldier Field,13952,ArizonaWranglers,1983.0,36.0,11.0
144,Mon,5/30/1983,A,MichiganPanthers,7-43,L,,"Pontiac, MI",Pontiac Silverdome,23976,TampaBayBandits,1983.0,43.0,7.0
946,Thu,5/30/1985,H,DenverGold,20-27,L,,"Los Angeles, CA",Memorial Coliseum,3059,LosAngelesExpress,1985.0,27.0,20.0
942,Sat,5/4/1985,H,TampaBayBandits,14-24,L,,"Los Angeles, CA",Memorial Coliseum,4912,LosAngelesExpress,1985.0,24.0,14.0
634,Sat,5/5/1984,H,DenverGold,20-17,W,OT,"Oakland, CA",Oakland-Alameda County Coliseum,19331,OaklandInvaders,1984.0,17.0,20.0
564,Sat,5/5/1984,H,PittsburghMaulers,20-12,W,,"Los Angeles, CA",Memorial Coliseum,16789,LosAngelesExpress,1984.0,12.0,20.0
440,Sat,5/5/1984,H,TampaBayBandits,13-31,L,,"Jacksonville, FL",Gator Bowl,71174,JacksonvilleBulls,1984.0,31.0,13.0
922,Sun,5/5/1985,H,DenverGold,9-35,L,,"San Antonio, TX",Alamo Stadium,9753,SanAntonioGunslingers,1985.0,35.0,9.0
812,Sun,5/5/1985,A,OrlandoRenegades,21-7,W,,"Orlando, FL",Orlando Stadium,21085,OaklandInvaders,1985.0,7.0,21.0
882,Sun,5/5/1985,A,BaltimoreStars,19-24,L,,"College Park, MD",Byrd Stadium,14432,ArizonaOutlaws,1985.0,24.0,19.0
772,Sun,5/5/1985,H,NewJerseyGenerals,30-20,W,,"Jacksonville, FL",Gator Bowl,60100,JacksonvilleBulls,1985.0,20.0,30.0
482,Sun,5/6/1984,H,HoustonGamblers,31-28,W,OT,"Pontiac, MI",Pontiac Silverdome,29038,MichiganPanthers,1984.0,28.0,31.0
544,Sun,5/6/1984,A,SanAntonioGunslingers,21-30,L,,"San Antonio, TX",Alamo Stadium,15231,ChicagoBlitz,1984.0,30.0,21.0
420,Sun,5/6/1984,A,WashingtonFederals,13-10,W,OT,"Washington, DC",RFK Stadium,4432,MemphisShowboats,1984.0,10.0,13.0
524,Sun,5/6/1984,A,NewJerseyGenerals,17-49,L,,"East Rutherford, NJ",Giants Stadium,34917,OklahomaOutlaws,1984.0,49.0,17.0
353,Sun,5/6/1984,H,PhiladelphiaStars,11-43,L,,"Birmingham, AL",Legion Field,49500,BirminghamStallions,1984.0,43.0,11.0
902,Mon,5/6/1985,H,HoustonGamblers,7-45,L,,"Portland, OR",Civic Stadium,18457,PortlandBreakers,1985.0,45.0,7.0
1099,Fri,5/6/2022,A,MichiganPanthers,26-25,W,,"Birmingham, AL",Protective Stadium,,PhiladelphiaStars,2022.0,25.0,26.0
203,Sat,5/7/1983,H,BostonBreakers,23-20,W,,"Los Angeles, CA",Memorial Coliseum,16307,LosAngelesExpress,1983.0,20.0,23.0
243,Sat,5/7/1983,H,MichiganPanthers,10-21,L,,"Tempe, AZ",Sun Devil Stadium,20423,ArizonaWranglers,1983.0,21.0,10.0
588,Mon,5/7/1984,A,NewOrleansBreakers,28-13,W,,"New Orleans, LA",Louisiana Superdome,22937,ArizonaWranglers,1984.0,13.0,28.0
995,Sat,5/7/2022,A,BirminghamStallions,10-16,L,,"Birmingham, AL",Protective Stadium,,TampaBayBandits,2022.0,16.0,10.0
1035,Sat,5/7/2022,H,NewJerseyGenerals,13-21,L,,"Birmingham, AL",Protective Stadium,,PittsburghMaulers,2022.0,21.0,13.0
1073,Sat,5/7/2022,A,BirminghamStallions,10-16,L,,"Birmingham, AL",Protective Stadium,,TampaBayBandits,2022.0,16.0,10.0
181,Sun,5/8/1983,H,TampaBayBandits,10-17,L,,"Oakland, CA",Oakland-Alameda County Coliseum,26989,OaklandInvaders,1983.0,17.0,10.0
119,Sun,5/8/1983,H,WashingtonFederals,31-3,W,,"Chicago, IL",Soldier Field,11030,ChicagoBlitz,1983.0,3.0,31.0
223,Sun,5/8/1983,A,PhiladelphiaStars,3-6,L,,"Philadelphia, PA",Veterans Stadium,14306,DenverGold,1983.0,6.0,3.0
1085,Sun,5/8/2022,H,HoustonGamblers,23-16,W,,"Birmingham, AL",Protective Stadium,,NewOrleansBreakers,2022.0,16.0,23.0
161,Mon,5/9/1983,A,NewJerseyGenerals,22-7,W,,"East Rutherford, NJ",Giants Stadium,38734,BirminghamStallions,1983.0,7.0,22.0
508,Fri,6/1/1984,H,MichiganPanthers,17-23,L,OT,"San Antonio, TX",Alamo Stadium,16384,SanAntonioGunslingers,1984.0,23.0,17.0
424,Fri,6/1/1984,H,NewOrleansBreakers,20-17,W,,"Memphis, TN",Liberty Bowl,31198,MemphisShowboats,1984.0,17.0,20.0
796,Sat,6/1/1985,H,TampaBayBandits,37-7,W,,"Orlando, FL",Orlando Stadium,26847,OrlandoRenegades,1985.0,7.0,37.0
926,Sat,6/1/1985,A,ArizonaOutlaws,3-13,L,,"Tempe, AZ",Sun Devil Stadium,11151,SanAntonioGunslingers,1985.0,13.0,3.0
704,Sat,6/1/1985,A,NewJerseyGenerals,7-17,L,,"East Rutherford, NJ",Giants Stadium,45682,MemphisShowboats,1985.0,17.0,7.0
405,Sun,6/10/1984,A,NewJerseyGenerals,21-31,L,,"East Rutherford, NJ",Giants Stadium,23114,NewOrleansBreakers,1984.0,31.0,21.0
549,Sun,6/10/1984,A,HoustonGamblers,13-38,L,,"Houston, TX",Astrodome,24243,ChicagoBlitz,1984.0,38.0,13.0
358,Sun,6/10/1984,H,WashingtonFederals,42-21,W,,"Birmingham, AL",Legion Field,22100,BirminghamStallions,1984.0,21.0,42.0
569,Sun,6/10/1984,A,OklahomaOutlaws,17-10,W,,"Tulsa, OK",Skelly Stadium,22017,LosAngelesExpress,1984.0,10.0,17.0
777,Mon,6/10/1985,A,NewJerseyGenerals,24-31,L,,"East Rutherford, NJ",Giants Stadium,36465,JacksonvilleBulls,1985.0,31.0,24.0
248,Sat,6/11/1983,H,WashingtonFederals,11-18,L,,"Tempe, AZ",Sun Devil Stadium,16656,ArizonaWranglers,1983.0,18.0,11.0
